,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
471,2019-04-30,totumo,-73.58333333333333,,-0.0646993475558449,5.317644997331392,99.47609692206942,-0.8,Nino
473,2019-06-30,totumo,13.291666666666664,,-0.0628632694922669,5.871709607763506,25.67125081859856,-0.4000000000000001,Nino
474,2019-07-31,totumo,11.583333333333345,,-0.0024357546363574,4.482414295826253,99.34512115258676,-0.8200000000000001,Nino
475,2019-08-31,totumo,-9.166666666666664,,-0.0111858545386434,-1.652723385509837,99.93451211525868,-0.8000000000000002,Neutral
477,2019-10-31,totumo,55.833333333333336,,0.0373034046690359,-9.237537978994157,99.93451211525868,-1.0000000000000002,Neutral
478,2019-11-30,totumo,72.83333333333334,,0.1095327825885759,0.5032217262632344,91.22462344466274,-0.9,Neutral
479,2019-12-31,totumo,30.958333333333336,,0.0867763341985881,-10.596292023305413,90.8316961362148,-0.5400000000000001,Neutral
480,2020-01-31,totumo,31.54166666666667,,0.1081267887396857,-1.8463441038307948,100.0,-0.4600000000000001,Neutral
481,2020-02-29,totumo,-47.708333333333336,,0.013369689581508,1.0306606636048985,100.0,-0.1200000000000001,Neutral
482,2020-03-31,totumo,-53.41666666666666,,-0.1095650351798543,5.130166848358591,99.93451211525868,0.1999999999999999,Neutral
483,2020-04-30,totumo,-55.66666666666666,,-0.1587817560740522,7.81444762801641,95.87426326129666,0.019999999999999907,Neutral
484,2020-05-31,totumo,-53.08333333333333,,-0.1592558018343389,15.097244555132704,97.05304518664047,0.17999999999999988,Neutral
485,2020-06-30,totumo,-52.625,,-0.0589647598029222,0.0372218494358733,68.17288801571709,0.5799999999999998,Neutral
486,2020-07-31,totumo,-27.666666666666664,,0.0098525079183066,-8.792259095785198,96.92206941715784,0.82,Nina
488,2020-09-30,totumo,18.000000000000007,,0.0787333184367981,2.00088390710215,83.03863785199738,1.18,Nina
489,2020-10-31,totumo,78.0,,0.0668500693274171,-0.9966637373249938,42.960052390307794,1.64,Nina
491,2020-12-31,totumo,99.33333333333334,,0.060022143463191,2.4149057181129727,95.67779960707269,2.12,Nina
492,2021-01-31,totumo,51.54166666666667,,-0.0449023937247267,-9.20060746144838,22.789783889980352,2.08,Nina
493,2021-02-28,totumo,-53.66666666666666,,0.0008654288086236,1.5761998516277629,99.41060903732809,1.9799999999999998,Nina
495,2021-04-30,totumo,-60.12499999999999,,-0.0655546201128822,-6.680453066829013,74.13228552717747,1.04,Nina
496,2021-05-31,totumo,-80.54166666666666,,-0.0184943674461661,3.0685751267428003,99.6725605762934,1.0,Nina
497,2021-06-30,totumo,-66.625,,0.0306473074452693,6.087578407949465,99.60707269155206,1.08,Nina
498,2021-07-31,totumo,-63.0,,0.0385980725321241,6.697148659441169,99.86902423051735,1.22,Nina
499,2021-08-31,totumo,-60.99999999999999,,-0.0619653065496764,-3.0468640036509957,47.34774066797642,1.3,Nina
500,2021-09-30,totumo,-48.693473193473096,,-0.0253464798173956,6.022389389774197,95.87426326129666,1.48,Nina
501,2021-10-31,totumo,136.07517482517494,,0.0006697520988871,5.64843249680024,99.47609692206942,1.52,Nina
502,2021-11-30,totumo,306.843822843823,,-0.0226349887140352,0.0236863466878212,98.2973149967256,1.64,Nina
503,2021-12-31,totumo,286.612470862471,,-0.0286786204521278,3.535293285985915,99.54158480681072,1.94,Nina
506,2001-03-31,virgen,-64.42149864024866,,-0.0586815695215461,1.807380129974263,99.24337957124844,1.0799999999999998,Nina
507,2001-04-30,virgen,-68.17997037684539,,-0.1420898994028319,-0.2249667958554226,99.01410065344491,0.86,Neutral
508,2001-05-31,virgen,-68.58844211344213,,-0.0713381040307987,6.418076166272584,98.81921357331194,0.24,Neutral
509,2001-06-30,virgen,-61.84691385003887,,-0.01738999462027,9.052292627712752,98.93385303221368,-0.2,Neutral
510,2001-07-31,virgen,-47.355385586635606,,0.0229846181617064,5.470091889952137,80.46543620314111,-0.2,Neutral
511,2001-08-31,virgen,-11.413857323232335,,-0.0962090976049334,-7.8220630559345565,91.4249684741488,-0.06000000000000001,Neutral
